Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
5/2/23,14.1,28.8,0,ESE,37,14:23,21.5,49,0,WSW,7,1015.3,27.5,33,0,ESE,26,1013.7
6/2/23,20.6,29.3,0,NE,41,15:37,24,69,4,NNW,6,1018.2,28.2,56,0,ENE,24,1014.9
7/2/23,21.4,28.6,0,ESE,39,14:45,24.5,66,8,NNE,9,1016.1,27.7,63,8,ESE,26,1013.9
8/2/23,19.3,26.6,0,ESE,39,15:55,23.8,70,8,N,6,1015.7,24.6,67,8,SE,26,1013.9
9/2/23,20.3,24.5,3.6,ESE,39,14:27,22.1,86,8,ENE,11,1012.9,23.5,84,8,ESE,24,1010.2
10/2/23,17.1,31.6,13.8,SSE,41,18:34,21.2,79,0,WNW,11,1009.2,30.3,37,0,NNW,9,1005.2
11/2/23,17.9,36.9,0,NE,39,18:11,22.7,76,8,WNW,9,1006.5,36.2,22,0,NNE,13,1001.4
12/2/23,19.9,28.4,0,SE,57,15:43,25.4,45,1,SW,17,1003.8,26.8,52,0,SSE,30,1004.4
13/2/23,19.2,25.4,0,SSE,35,12:38,20.8,72,8,S,17,1011.2,23.6,57,8,ESE,17,1009.8
14/2/23,18.3,22.7,0,SSW,33,8:03,20,74,8,SSW,17,1012.2,21.9,74,8,SSE,17,1012.9
15/2/23,17.5,27.4,7.4,ENE,33,14:17,20.2,84,8,W,7,1017.2,26.4,54,8,NE,15,1014.8
16/2/23,15.5,31,0,ENE,33,15:14,21.4,71,0,WNW,4,1018.2,30.2,41,0,ENE,19,1014.3
17/2/23,17.7,31.2,0,ENE,37,15:31,22.4,75,0,NNW,6,1016.9,30.4,41,0,E,22,1013.8
18/2/23,18.4,35.2,0,SW,74,17:23,23.2,72,4,NA,0,1014.6,34,42,0,ENE,19,1009.7
19/2/23,19.1,28.1,13,ESE,28,13:59,22.8,70,0,SW,9,1019.1,27.1,62,8,SE,17,1018.3
20/2/23,20.3,31.9,0,ENE,35,15:56,24.7,74,1,NE,11,1020.1,30.8,54,0,ENE,20,1017.2
21/2/23,19.6,30.8,0,SSE,48,17:33,25.3,73,1,SE,7,1021.6,29.6,54,0,SE,24,1019.9
22/2/23,19.2,22.2,29.6,SE,46,11:58,21.6,62,8,SSE,19,1025.8,19.1,81,8,SE,19,1026.3
23/2/23,16.4,23.9,1.2,E,35,14:18,18.8,76,8,WSW,6,1024,21.2,77,8,NE,2,1023.4
